c_mot;c_lemme;c_morpho
abondante;abondant;adj
abondantes;abondant;adj
abondants;abondant;adj
abondassent;abonder;ver
abonde;abonder;ver
abondé;abonder;ver
abondent;abonder;ver
abonder;abonder;ver
abonnai;abonner;ver
abonnant;abonner;ver
abonnât;abonner;ver
abonne;abonner;ver
abonné;abonner;ver
abonnée;abonner;ver
abonnées;abonné;nom
abonnement;abonnement;nom
abonnements;abonnement;nom
abonner;abonner;ver
abonnés;abonné;nom
abonnez;abonner;ver
abord;abord;nom
aborda;aborder;ver
abordable;abordable;adj
abordables;abordable;adj
abordage;abordage;nom
abordages;abordage;nom
abordai;aborder;ver
abordaient;aborder;ver
abordais;aborder;ver
abordait;aborder;ver
abordâmes;aborder;ver
abordant;aborder;ver
aborde;aborder;ver
abordé;aborder;ver
abordée;aborder;ver
abordées;aborder;ver
abordent;aborder;ver
aborder;aborder;ver
abordera;aborder;ver
aborderai;aborder;ver
aborderaient;aborder;ver
aborderais;aborder;ver
aborderait;aborder;ver
abordèrent;aborder;ver
aborderiez;aborder;ver
aborderions;aborder;ver
aborderons;aborder;ver
aborderont;aborder;ver
abordes;aborder;ver
abordés;aborder;ver
abordez;aborder;ver
abordiez;aborder;ver
abordions;aborder;ver
abordons;aborder;ver
abords;abord;nom
aborigène;aborigène;nom
aborigènes;aborigène;nom
abornement;abornement;nom
abortif;abortif;adj
abortive;abortif;adj
abortives;abortif;adj
abouchaient;aboucher;ver
abouchais;aboucher;ver
abouchait;aboucher;ver
abouchant;aboucher;ver
abouché;aboucher;ver
abouchée;aboucher;ver
abouchements;abouchement;nom
aboucher;aboucher;ver
abouchés;aboucher;ver
aboule;abouler;ver
abouler;abouler;ver
aboules;abouler;ver
aboulez;abouler;ver
aboulie;aboulie;nom
aboulique;aboulique;nom
abouliques;aboulique;adj
abounas;abouna;nom
about;about;nom
aboutait;abouter;ver
abouti;aboutir;ver
aboutie;abouti;adj
aboutîmes;aboutir;ver
aboutir;aboutir;ver
aboutira;aboutir;ver
aboutirai;aboutir;ver
aboutiraient;aboutir;ver
aboutirais;aboutir;ver
aboutirait;aboutir;ver
aboutiras;aboutir;ver
aboutirent;aboutir;ver
aboutirons;aboutir;ver
aboutiront;aboutir;ver
aboutis;aboutir;ver
aboutissaient;aboutir;ver
aboutissait;aboutir;ver
aboutissant;aboutir;ver
aboutissants;aboutissant;nom
aboutisse;aboutir;ver
aboutissement;aboutissement;nom
aboutissent;aboutir;ver
aboutissez;aboutir;ver
aboutissiez;aboutir;ver
aboutissions;aboutir;ver
aboutit;aboutir;ver
aboutonnai;aboutonner;ver
aboutons;abouter;ver
aboya;aboyer;ver
aboyaient;aboyer;ver
aboyait;aboyer;ver
aboyant;aboyer;ver
aboyante;aboyant;adj
aboyé;aboyer;ver
aboyer;aboyer;ver
aboyèrent;aboyer;ver
aboyeur;aboyeur;nom
aboyeurs;aboyeur;nom
aboyons;aboyer;ver
abracadabra;abracadabra;nom
abracadabrant;abracadabrant;adj
abracadabrante;abracadabrant;adj
abracadabrantes;abracadabrant;adj
abracadabrants;abracadabrant;adj
abracadabré;abracadabrer;ver
abrasé;abraser;ver
abrasif;abrasif;nom
abrasifs;abrasif;nom
abrasion;abrasion;nom
abrasive;abrasif;adj
abraxas;abraxas;nom
abrégé;abréger;ver
abrège;abréger;ver
abrégea;abréger;ver
abrégeai;abréger;ver
abrégeaient;abréger;ver
abrégeait;abréger;ver
abrégeant;abréger;ver
abrégeât;abréger;ver
abrégée;abrégé;adj
abrègent;abréger;ver
abrégeons;abréger;ver
abréger;abréger;ver
abrégera;abréger;ver
abrégerai;abréger;ver
abrégerait;abréger;ver
abrégés;abrégé;nom
abrégez;abréger;ver
abreuva;abreuver;ver
abreuvage;abreuvage;nom
abreuvaient;abreuver;ver
abreuvait;abreuver;ver
abreuvant;abreuver;ver
abreuve;abreuver;ver
abreuvé;abreuver;ver
abreuvée;abreuver;ver
abreuvent;abreuver;ver
abreuver;abreuver;ver
abreuvera;abreuver;ver
abreuveraient;abreuver;ver
abreuvés;abreuver;ver
abreuvez;abreuver;ver
abreuvoir;abreuvoir;nom
abreuvoirs;abreuvoir;nom
abreuvons;abreuver;ver
abréviatif;abréviatif;adj
abréviation;abréviation;nom
abréviations;abréviation;nom
abri;abri;nom
abri_refuge;abri_refuge;nom
abribus;abribus;nom
abricot;abricot;nom
abricotez;abricoter;ver
abricotier;abricotier;nom
abricotiers;abricotier;nom
abricotine;abricotine;nom
abricots;abricot;nom
abris;abri;nom
abrita;abriter;ver
abritai;abriter;ver
abritaient;abriter;ver
abritais;abriter;ver
abritait;abriter;ver
abritâmes;abriter;ver
abritant;abriter;ver
abrite;abriter;ver
abrité;abriter;ver
abritée;abriter;ver
abritées;abriter;ver
abritent;abriter;ver
abriter;abriter;ver
abritera;abriter;ver
abriterait;abriter;ver
abritèrent;abriter;ver
abriterons;abriter;ver
abriteront;abriter;ver
abrites;abriter;ver
abrités;abrité;adj
abritez;abriter;ver
abritiez;abriter;ver
abritions;abriter;ver
abritons;abriter;ver
abrogation;abrogation;nom
abrogé;abroger;ver
abrogée;abroger;ver
abrogées;abroger;ver
abrogent;abroger;ver
abroger;abroger;ver
abrogés;abroger;ver
abrupt;abrupt;adj
abrupte;abrupt;adj
abruptement;abruptement;adv
abruptes;abrupt;adj
abrupts;abrupt;adj
abruti;abruti;nom
abrutie;abruti;nom
abruties;abruti;adj
abrutir;abrutir;ver
abrutira;abrutir;ver
abrutis;abruti;nom
abrutissaient;abrutir;ver
abrutissais;abrutir;ver
abrutissait;abrutir;ver
abrutissant;abrutissant;adj
abrutissante;abrutissant;adj
abrutissantes;abrutissant;adj
abrutissants;abrutissant;adj
abrutissement;abrutissement;nom
abrutissent;abrutir;ver
abrutisseur;abrutisseur;nom
abrutissions;abrutir;ver
abrutit;abrutir;ver
abscisse;abscisse;nom
abscission;abscission;nom
abscons;abscons;adj
absconse;abscons;adj
absconses;abscons;adj
absence;absence;nom
absences;absence;nom
absent;absent;adj
absenta;absenter;ver
absentai;absenter;ver
absentaient;absenter;ver
absentais;absenter;ver
absentait;absenter;ver
absentant;absenter;ver
absente;absent;adj
absenté;absenter;ver
absentée;absenter;ver
absentéisme;absentéisme;nom
absentéiste;absentéiste;nom
absentéiste;absentéiste;adj
absenter;absenter;ver
absentera;absenter;ver
absenterai;absenter;ver
absenterait;absenter;ver
absentèrent;absenter;ver
absentes;absenter;ver
absentés;absenter;ver
absents;absent;adj
abside;abside;nom
absides;abside;nom
absidiales;absidial;adj
absidiole;absidiole;nom
absinthant;absinther;ver
absinthe;absinthe;nom
absolu;absolu;adj
absolue;absolu;adj
absolues;absolu;adj
absolument;absolument;adv
absolus;absolu;adj
absolution;absolution;nom
absolutisme;absolutisme;nom
absolvaient;absoudre;ver
absolvait;absoudre;ver
absolvant;absolvant;adj
absolve;absoudre;ver
absolvent;absoudre;ver
absolves;absoudre;ver
absorba;absorber;ver
absorbables;absorbable;adj
absorbai;absorber;ver
absorbaient;absorber;ver
absorbais;absorber;ver
absorbait;absorber;ver
absorbant;absorbant;adj
absorbante;absorbant;adj
absorbantes;absorbant;adj
absorbants;absorbant;adj
absorbe;absorber;ver
absorbé;absorber;ver
absorbée;absorber;ver
absorbées;absorber;ver
absorbent;absorber;ver
absorber;absorber;ver
absorbera;absorber;ver
absorberai;absorber;ver
absorberaient;absorber;ver
absorberait;absorber;ver
absorbèrent;absorber;ver
absorbés;absorber;ver
absorbeur;absorbeur;nom
absorbez;absorber;ver
absorbions;absorber;ver
absorbons;absorber;ver
absorption;absorption;nom
absorptions;absorption;nom
absoudrai;absoudre;ver
absoudrait;absoudre;ver
absoudre;absoudre;ver
absoudriez;absoudre;ver
absous;absoudre;ver
absout;absoudre;ver
absoute;absoute;nom
absoutes;absoudre;ver
abstenaient;abstenir;ver
abstenais;abstenir;ver
abstenait;abstenir;ver
abstenant;abstenir;ver
abstenez;abstenir;ver
absteniez;abstenir;ver
abstenions;abstenir;ver
abstenir;abstenir;ver
abstenons;abstenir;ver
abstention;abstention;nom
abstentionniste;abstentionniste;nom
abstentionnistes;abstentionniste;nom
abstenu;abstenir;ver
abstenue;abstenir;ver
abstenues;abstenir;ver
abstenus;abstenir;ver
abstiendrai;abstenir;ver
abstiendraient;abstenir;ver
abstiendrais;abstenir;ver
abstiendrait;abstenir;ver
abstiendras;abstenir;ver
abstiendrions;abstenir;ver
abstiendrons;abstenir;ver
abstiendront;abstenir;ver
abstienne;abstenir;ver
abstiennent;abstenir;ver
abstiennes;abstenir;ver
abstiens;abstenir;ver
abstient;abstenir;ver
abstinence;abstinence;nom
abstinences;abstinence;nom
abstinent;abstinent;adj
abstinente;abstinent;adj
abstinrent;abstenir;ver
abstins;abstenir;ver
abstint;abstenir;ver
abstînt;abstenir;ver
abstraction;abstraction;nom
abstractions;abstraction;nom
abstraire;abstraire;ver
abstrais;abstraire;ver
abstrait;abstrait;adj
abstraite;abstrait;adj
abstraitement;abstraitement;adv
abstraites;abstraire;ver
abstraits;abstrait;adj
abstrus;abstrus;adj
abstruse;abstrus;adj
abstruses;abstrus;adj
absurde;absurde;adj
absurdement;absurdement;adv
absurdes;absurde;adj
absurdistes;absurdiste;nom
absurdité;absurdité;nom
absurdités;absurdité;nom
abus;abus;nom
abusa;abuser;ver
abusai;abuser;ver
abusaient;abuser;ver
abusais;abuser;ver
abusait;abuser;ver
abusant;abuser;ver
abuse;abuser;ver
