dic_mot;dic_norm;dic_morpho
big band;big_band;NOM
big bang;big_bang;NOM
big-bang;big_bang;NOM
bin's;bin_s;NOM
binet-simon;binet_simon;NOM
bip-bip;bip_bip;NOM
birth control;birth_control;NOM
bisou-éclair;bisou_éclair;NOM
bla bla;bla_bla;NOM
bla-bla;bla_bla;NOM
bla-bla-bla;bla_bla_bla;NOM
black-bass;black_bass;NOM
black-jack;black_jack;NOM
black-out;black_out;NOM
blanc-bec;blanc_bec;NOM
blanc-bleu;blanc_bleu;NOM
blanc-gris;blanc_gris;ADJ
blanc-seing;blanc_seing;NOM
blancs-becs;blanc_bec;NOM
blancs-manteaux;blancs_manteaux;ADJ
bleu-ciel;bleu_ciel;ADJ
bleu-noir;bleu_noir;ADJ
bleu-roi;bleu_roi;NOM
bleu-vert;bleu_vert;ADJ
bloc-cylindres;bloc_cylindres;NOM
bloc-moteur;bloc_moteur;NOM
bloc-notes;bloc_notes;NOM
blocs-notes;blocs_notes;NOM
bloody mary;bloody_mary;NOM
blue jeans;blue_jean;NOM
blue note;blue_note;NOM
blue-jean;blue_jean;NOM
blue-jeans;blue_jean;NOM
boat people;boat_people;NOM
body-building;body_building;NOM
bombes-test;bombe_test;NOM
bon-papa;bon_papa;NOM
bonheur-du-jour;bonheur_du_jour;NOM
bonheurs-du-jour;bonheur_du_jour;NOM
bonne-maman;bonne_maman;NOM
bons-cadeaux;bon_cadeaux;ADV
bons-chrétiens;bon_chrétien;NOM
boogie-woogie;boogie_woogie;NOM
borne-fontaine;borne_fontaine;NOM
bornes-fontaines;borne_fontaine;NOM
bossa-nova;bossa_nova;NOM
bouche-trou;bouche_trou;NOM
bouche-trous;bouche_trou;NOM
bouche-à-bouche;bouche_à_bouche;NOM
bouche-à-oreille;bouche_à_oreille;NOM
boui-boui;boui_boui;NOM
bouis-bouis;boui_boui;NOM
boulanger-pâtissier;boulanger_pâtissier;NOM
boule-de-neige;boule_de_neige;NOM
boulot-refuge;boulot_refuge;ADJ
bourre-mou;bourre_mou;NOM
bourre-pif;bourre_pif;NOM
bout-dehors;bout_dehors;NOM
bout-rimé;bout_rimé;NOM
boute-en-train;boute_en_train;NOM
boutique-cadeaux;boutique_cadeaux;NOM
bouton-d'or;bouton_d_or;NOM
bouton-pression;bouton_pression;NOM
boutons-d'or;bouton_d_or;NOM
boutons-pression;bouton_pression;NOM
bouts-rimés;bout_rimé;NOM
bow-window;bow_window;NOM
bow-windows;bow_window;NOM
box-calf;box_calf;NOM
box-office;box_office;NOM
box-offices;box_office;NOM
boxer-short;boxer_short;NOM
boy-friend;boy_friend;NOM
boy-scout;boy_scout;NOM
boy-scoutesque;boy_scoutesque;ADJ
boy-scouts;boy_scout;NOM
boîtes-repas;boîte_repas;NOM
bracelet-montre;bracelet_montre;NOM
bracelets-montres;bracelet_montre;NOM
brain-trust;brain_trust;NOM
branle-bas;branle_bas;NOM
brasserie-hôtel;brasserie_hôtel;NOM
break-down;break_down;NOM
bric et de broc;bric_et_de_broc;ADV
bric-à-brac;bric_à_brac;NOM
brigadier-chef;brigadier_chef;NOM
brigadiers-chefs;brigadier_chef;NOM
brise-bise;brise_bise;NOM
brise-fer;brise_fer;NOM
brise-glace;brise_glace;NOM
brise-jet;brise_jet;NOM
brise-lame;brise_lame;NOM
brise-vent;brise_vent;NOM
broncho-pneumonie;broncho_pneumonie;NOM
broncho-pneumopathie;broncho_pneumopathie;NOM
brown sugar;brown_sugar;NOM
brèche-dents;brèche_dent;NOM
brûle-gueule;brûle_gueule;NOM
bubble gum;bubble_gum;NOM
bubble-gum;bubble_gum;NOM
bucco-génital;bucco_génital;ADJ
bucco-génitales;bucco_génital;ADJ
bucco-génitaux;bucco_génital;ADJ
buen retiro;buen_retiro;NOM
buisson-ardent;buisson_ardent;NOM
bull-dog;bull_dog;NOM
bull-dogs;bull_dog;NOM
bull-finch;bull_finch;NOM
bull-terrier;bull_terrier;NOM
by night;by_night;ADJ
